frame_order	sum	raw	gpstimestamp
0	836	836	1533160852
1	836	935	1533160912
2	836	935	1533160972
3	836	935	1533161032
4	836	935	1533161092
5	836	836	1533161181
6	935	935	1533161241
7	939	939	1533161266
8	940	940	1533161492
9	940	940	1533161552
10	940	940	1533161612
11	940	940	1533161672
12	941	941	1533161732
13	941	941	1533161792
14	941	941	1533161852
15	941	941	1533161912
16	941	941	1533161972
17	941	941	1533162032
18	941	941	1533162092
19	941	941	1533162152
20	941	941	1533162212
21	941	941	1533162272
22	941	941	1533162332
23	941	941	1533162392
24	941	941	1533162452
25	941	941	1533162512
26	941	941	1533162572
27	941	941	1533162632
28	941	941	1533162692
29	941	941	1533162752
30	942	942	1533162812
31	942	942	1533162872
32	941	941	1533162932
33	941	941	1533163052
34	941	941	1533163112
35	941	941	1533163172
36	941	941	1533163232
37	941	941	1533163292
38	940	940	1533163352
39	940	940	1533163412
40	940	940	1533163472
41	938	836	1533163560
42	936	936	1533163620
43	940	940	1533163671
44	940	940	1533163691
45	938	938	1533163751
46	938	938	1533163756
47	937	937	1533163786
48	938	938	1533163792
49	934.5	831	1533163889
50	931	931	1533163949
51	935	935	1533164009
52	935	935	1533164069
53	935	935	1533164129
54	932.5	830	1533164219
55	930	930	1533164279
56	930	930	1533164339
57	933	933	1533164399
58	935	935	1533164459
59	933	832	1533164548
60	933	909	1533164577
61	933	909	1533164583
62	931	931	1533164635
63	931	931	1533164662
64	929	929	1533167362
65	929	929	1533167858
66	929	929	1533168190
67	929	929	1533168517
68	929	929	1533168847
69	929	929	1533169176
70	929	929	1533169506
71	929	929	1533169835
72	929	929	1533170165
73	929	929	1533170494
74	929	929	1533170823
75	929	929	1533171153
76	929	929	1533171194
77	926	926	1533171218
78	926	926	1533171278
79	926	926	1533171338
80	926	926	1533171398
81	926	926	1533171482
82	926	926	1533171542
83	924	924	1533171602
84	924	924	1533171662
85	924	924	1533171720
86	924	924	1533171812
87	924	924	1533171872
88	924	924	1533171901
89	924	924	1533171961
90	924	924	1533171978
91	924	924	1533171999
92	924	924	1533172015
93	924	924	1533172020
94	924	924	1533172031
95	924	924	1533172036
96	924	924	1533172141
97	924	924	1533172201
98	924	924	1533172261
